key_count,avg_gap,variance,label
1,0.0422704219818115,0.0,1
6,0.0050062338511149,5.416340223342154e-06,1
24,0.110569417476654,0.2706669033785272,1
23,0.00243239817412,3.544585875382172e-06,1
24,0.0829985638459523,0.1510773355761802,1
23,0.0020253865615181,1.3690724329626564e-06,1
23,0.0019843267357867,9.370491699663063e-07,1
24,0.0829916894435882,0.1510015864300736,1
7,0.3443739414215088,0.6864716035787198,1
25,0.0024096965789794,4.849772562920407e-06,1
31,0.0762003237201321,0.1623925099650844,1
1,0.0205843448638916,0.0,1
6,0.0028047959009806,3.386559497029237e-07,1
59,0.035421698780383,0.0646525815406917,1
29,0.0023884444401181,2.15608071610082e-06,1
26,0.0020495653152465,2.081488827999377e-06,1
26,0.002384066581726,1.265061975721857e-06,1
27,0.0739054591567428,0.1342164279310698,1
1,0.025599718093872,0.0,1
4,0.4999380111694336,0.7335927660048469,1
1,0.0276541709899902,0.0,1
6,0.0023660659790039,3.1106868997691586e-06,1
53,0.0394451483240667,0.0723268171831366,1
26,0.002003788948059,3.0348827970363764e-06,1
9,0.0032010343339708,6.419919201769876e-06,1
32,0.0634505152702331,0.1175818287788885,1
24,0.0831034481525421,0.1489330915387953,1
29,0.0020017295048154,1.4426261899304002e-06,1
59,0.0367391392336053,0.0640160006416575,1
1,0.0280194282531738,0.0,1
7,0.2857355730874197,0.4832446572952356,1
23,0.0020401374153468,6.993634912239233e-07,1
23,0.0020318445952042,2.1229902994025646e-06,1
24,0.0830650627613067,0.1508541305991775,1
23,0.0019737948542055,8.186350512894309e-07,1
47,0.0444221851673532,0.0812010612499553,1
1,0.0250043869018554,0.0,1
5,0.002199649810791,5.575209343078313e-07,1
25,0.0018454551696777,1.0034776551037797e-06,1
1,0.0261530876159667,0.0,1
29,0.0026332838781948,3.024860863015539e-06,1
1,0.0140185356140136,0.0,1
6,0.0018838644027709,2.939582136226212e-07,1
30,0.0894500494003295,0.2179233662538807,1
29,0.0021197384801404,1.3633478197058858e-06,1
1,0.0265707969665527,0.0,1
6,0.0020986000696818,4.673140744494554e-07,1
3,0.0017885367075602,8.006415378582056e-07,1
5,0.0019999980926513,1.2009819010927458e-06,1
6,0.0053819815317789,3.823851821809714e-05,1
4,0.499818205833435,0.7424617060242298,1
3,0.0026749769846598,6.980557271971419e-07,1
3,0.0021734237670898,8.009331319650906e-07,1
3,0.9332474072774252,1.732132680143738,1
5,0.4000485897064209,0.6137914763574963,1
6,0.0026568571726481,1.909130042400244e-06,1
